date,price,quantity
Aug 07 2020 01: +0,10.698,57688
Aug 08 2020 01: +0,6.926,48599
Aug 09 2020 01: +0,5.399,47728
Aug 10 2020 01: +0,4.416,45967
Aug 11 2020 01: +0,3.952,45196
Aug 12 2020 01: +0,3.643,43555
Aug 13 2020 01: +0,3.46,43070
Aug 14 2020 01: +0,3.298,46246
Aug 15 2020 01: +0,3.222,44554
Aug 16 2020 01: +0,2.758,47411
Aug 17 2020 01: +0,2.435,44304
Aug 18 2020 01: +0,2.316,48440
Aug 19 2020 01: +0,2.358,47738
Aug 20 2020 01: +0,2.37,45238
Aug 21 2020 01: +0,2.317,47635
Aug 22 2020 01: +0,2.439,46853
Aug 23 2020 01: +0,2.209,49366
Aug 24 2020 01: +0,2.047,49509
Aug 25 2020 01: +0,1.921,53898
Aug 26 2020 01: +0,1.915,48431
Aug 27 2020 01: +0,1.842,49525
Aug 28 2020 01: +0,1.867,51543
Aug 29 2020 01: +0,1.842,47715
Aug 30 2020 01: +0,1.684,50963
Aug 31 2020 01: +0,1.551,50976
Sep 01 2020 01: +0,1.548,45849
Sep 02 2020 01: +0,1.594,46272
Sep 03 2020 01: +0,1.568,44761
Sep 04 2020 01: +0,1.619,50004
Sep 05 2020 01: +0,1.525,49822
Sep 06 2020 01: +0,1.413,52068
Sep 07 2020 01: +0,1.406,47492
Sep 08 2020 01: +0,1.351,47045
Sep 09 2020 01: +0,1.326,48394
Sep 10 2020 01: +0,1.412,49090
Sep 11 2020 01: +0,1.433,52752
Sep 12 2020 01: +0,1.443,56072
Sep 13 2020 01: +0,1.408,52875
Sep 14 2020 01: +0,1.378,50716
Sep 15 2020 01: +0,1.424,50706
Sep 16 2020 01: +0,1.457,51649
Sep 17 2020 01: +0,1.455,47391
Sep 18 2020 01: +0,1.443,53882
Sep 19 2020 01: +0,1.429,58182
Sep 20 2020 01: +0,1.353,54431
Sep 21 2020 01: +0,1.285,49594
Sep 22 2020 01: +0,1.256,51432
Sep 23 2020 01: +0,1.265,51541
Sep 24 2020 01: +0,1.262,50498
Sep 25 2020 01: +0,1.273,56968
Sep 26 2020 01: +0,1.21,59816
Sep 27 2020 01: +0,1.01,62867
Sep 28 2020 01: +0,0.906,56351
