buyPrice,buyQuantity
3.73,3
3.72,102
3.71,576
3.7,37
3.69,505
3.68,958
3.65,1606
3.64,549
3.63,1291
3.62,662
3.61,919
3.6,623
3.59,777
3.58,445
3.57,570
3.56,969
3.54,677
3.53,1271
3.52,223
3.51,436
3.5,404
3.49,683
3.48,316
3.47,297
3.46,1297
3.45,364
3.42,1352
3.41,569
3.4,86
3.39,70
3.38,458
3.37,347
3.36,75
3.35,800
3.34,254
3.33,6
3.31,344
3.3,226
3.29,206
3.28,110
3.27,499
3.26,22
3.25,666
3.24,2327
3.23,75
3.22,408
3.19,1262
3.18,5
3.17,659
3.16,1241
3.15,424
3.14,88
3.13,1426
3.12,103
3.1,857
3.08,12
3.07,302
3.06,437
3.05,702
3.04,11
3.03,1248
3.02,13
3.01,657
3.0,589
2.96,434
2.95,664
2.94,349
2.93,690
2.92,1163
2.91,11
2.9,690
2.89,8
2.88,474
2.87,557
2.85,1189
2.84,2
2.83,1
2.81,1105
2.8,363
2.79,468
2.78,1
2.77,833
2.76,341
2.73,1172
2.72,724
2.71,350
2.7,61
2.69,716
2.68,4
2.66,474
2.65,737
2.64,246
2.62,456
2.61,347
2.6,746
2.59,515
2.58,1
2.57,889
2.55,765
2.54,552
2.5,231
