date,price,quantity
Feb 07 2024 01: +0,61.715,163
Feb 07 2024 02: +0,47.162,1425
Feb 07 2024 03: +0,20.301,6836
Feb 07 2024 04: +0,18.02,7375
Feb 07 2024 05: +0,15.361,6719
Feb 07 2024 06: +0,14.73,6475
Feb 07 2024 07: +0,10.7,7500
Feb 07 2024 08: +0,10.669,7543
Feb 07 2024 09: +0,10.27,7585
Feb 07 2024 10: +0,9.5,7764
Feb 07 2024 11: +0,8.658,8755
Feb 07 2024 12: +0,8.545,9318
Feb 07 2024 13: +0,8.29,10110
Feb 07 2024 14: +0,8.148,10990
Feb 07 2024 15: +0,8.216,12413
Feb 07 2024 16: +0,9.004,12505
Feb 07 2024 17: +0,8.94,13067
Feb 07 2024 18: +0,8.88,12829
Feb 07 2024 19: +0,8.814,13636
Feb 07 2024 20: +0,8.921,13983
Feb 07 2024 21: +0,8.96,11828
Feb 07 2024 22: +0,8.876,10801
Feb 07 2024 23: +0,9.356,9287
Feb 08 2024 00: +0,10.39,7279
Feb 08 2024 01: +0,11.89,5417
Feb 08 2024 02: +0,12.17,4563
Feb 08 2024 03: +0,12,4351
Feb 08 2024 04: +0,11.96,4080
Feb 08 2024 05: +0,11.93,3439
Feb 08 2024 06: +0,11.57,2846
Feb 08 2024 07: +0,10.69,2826
Feb 08 2024 08: +0,9.93,2678
Feb 08 2024 09: +0,9.73,3054
Feb 08 2024 10: +0,8.97,3073
Feb 08 2024 11: +0,8.7,3526
Feb 08 2024 12: +0,8.57,3723
Feb 08 2024 13: +0,8.371,4692
Feb 08 2024 14: +0,8.355,4533
Feb 08 2024 15: +0,8.29,5258
Feb 08 2024 16: +0,8.345,6127
Feb 08 2024 17: +0,8.664,6899
Feb 08 2024 18: +0,8.933,6514
Feb 08 2024 19: +0,9.26,6782
Feb 08 2024 20: +0,9.259,6760
Feb 08 2024 21: +0,9.13,6242
Feb 08 2024 22: +0,9.044,5955
Feb 08 2024 23: +0,9.38,5640
Feb 09 2024 00: +0,9.86,5521
Feb 09 2024 01: +0,10.471,4584
Feb 09 2024 02: +0,10.16,4745
Feb 09 2024 03: +0,9.96,4838
Feb 09 2024 04: +0,10.48,3876
Feb 09 2024 05: +0,10.49,3335
Feb 09 2024 06: +0,10.672,3259
Feb 09 2024 07: +0,10.851,2310
Feb 09 2024 08: +0,10.557,2313
Feb 09 2024 09: +0,10.531,2117
Feb 09 2024 10: +0,10.368,1986
Feb 09 2024 11: +0,10.267,2280
Feb 09 2024 12: +0,10.205,2770
Feb 09 2024 13: +0,9.982,2603
Feb 09 2024 14: +0,9.86,3427
Feb 09 2024 15: +0,9.96,3570
Feb 09 2024 16: +0,9.864,3926
Feb 09 2024 17: +0,9.97,4333
Feb 09 2024 18: +0,9.966,4597
Feb 09 2024 19: +0,9.964,4604
Feb 09 2024 20: +0,9.912,4811
Feb 09 2024 21: +0,9.89,4669
Feb 09 2024 22: +0,9.85,4781
Feb 09 2024 23: +0,10.03,4728
Feb 10 2024 00: +0,10.347,4222
Feb 10 2024 01: +0,10.382,3360
Feb 10 2024 02: +0,10.49,4168
Feb 10 2024 03: +0,10.78,3908
Feb 10 2024 04: +0,11,3374
Feb 10 2024 05: +0,11.13,3156
Feb 10 2024 06: +0,11.3,2609
Feb 10 2024 07: +0,11.45,2416
Feb 10 2024 08: +0,11.29,2150
Feb 10 2024 09: +0,10.89,2071
Feb 10 2024 10: +0,10.349,2081
Feb 10 2024 11: +0,10.088,2127
Feb 10 2024 12: +0,9.79,2305
Feb 10 2024 13: +0,9.63,2675
Feb 10 2024 14: +0,9.7,2991
Feb 10 2024 15: +0,9.695,3250
Feb 10 2024 16: +0,9.711,3138
Feb 10 2024 17: +0,9.704,3560
Feb 10 2024 18: +0,10.002,3659
Feb 10 2024 19: +0,9.888,3376
Feb 10 2024 20: +0,9.901,3459
Feb 10 2024 21: +0,10,3720
Feb 10 2024 22: +0,9.927,3831
Feb 10 2024 23: +0,10.088,3225
Feb 11 2024 00: +0,10.476,3063
Feb 11 2024 01: +0,10.67,2778
Feb 11 2024 02: +0,10.76,2512
Feb 11 2024 03: +0,10.77,2452
Feb 11 2024 04: +0,10.81,2291
Feb 11 2024 05: +0,10.83,2627
Feb 11 2024 06: +0,10.88,2238
Feb 11 2024 07: +0,10.884,2007
Feb 11 2024 08: +0,10.69,1845
Feb 11 2024 09: +0,10.41,1767
Feb 11 2024 10: +0,10.284,1477
Feb 11 2024 11: +0,10.005,1744
Feb 11 2024 12: +0,9.811,1958
Feb 11 2024 13: +0,9.388,2417
Feb 11 2024 14: +0,9.705,2490
Feb 11 2024 15: +0,9.506,2844
Feb 11 2024 16: +0,9.46,3265
Feb 11 2024 17: +0,9.45,3070
Feb 11 2024 18: +0,9.694,3442
Feb 11 2024 19: +0,9.808,3478
Feb 11 2024 20: +0,9.986,3636
Feb 11 2024 21: +0,9.91,3010
Feb 11 2024 22: +0,9.614,3200
Feb 11 2024 23: +0,9.963,2331
Feb 12 2024 00: +0,10.138,1853
Feb 12 2024 01: +0,10.009,1398
Feb 12 2024 02: +0,9.92,1483
Feb 12 2024 03: +0,9.959,1791
Feb 12 2024 04: +0,9.92,1557
Feb 12 2024 05: +0,9.96,2722
Feb 12 2024 06: +0,9.97,2026
Feb 12 2024 07: +0,9.95,1991
Feb 12 2024 08: +0,9.79,1554
Feb 12 2024 09: +0,9.645,1505
Feb 12 2024 10: +0,9.606,1447
Feb 12 2024 11: +0,9.335,1525
Feb 12 2024 12: +0,9.323,1722
Feb 12 2024 13: +0,9.56,1641
Feb 12 2024 14: +0,9.32,1623
Feb 12 2024 15: +0,9.315,2075
Feb 12 2024 16: +0,9.258,2258
Feb 12 2024 17: +0,9.175,2727
Feb 12 2024 18: +0,9.168,2973
Feb 12 2024 19: +0,9.321,3247
Feb 12 2024 20: +0,9.22,2838
Feb 12 2024 21: +0,9.29,2792
Feb 12 2024 22: +0,9.28,2487
Feb 12 2024 23: +0,9.538,2285
Feb 13 2024 00: +0,9.68,2133
Feb 13 2024 01: +0,9.717,2393
Feb 13 2024 02: +0,9.82,2275
Feb 13 2024 03: +0,9.7,2062
Feb 13 2024 04: +0,9.66,2152
Feb 13 2024 05: +0,9.597,1968
Feb 13 2024 06: +0,9.471,1726
Feb 13 2024 07: +0,9.49,1887
Feb 13 2024 08: +0,9.45,1395
