sellPrice,sellQuantity
3.74,7
3.75,285
3.76,27
3.77,43
3.79,190
3.8,124
3.81,19
3.82,52
3.83,177
3.84,37
3.85,29
3.86,14
3.87,55
3.88,96
3.91,17
3.92,11
3.93,10
3.94,11
3.95,7
3.96,20
3.97,13
3.98,76
3.99,383
4.0,148
4.02,31
4.03,62
4.04,160
4.05,21
4.06,47
4.07,16
4.08,4
4.09,235
4.1,74
4.11,15
4.14,43
4.15,15
4.16,75
4.17,175
4.18,17
4.19,36
4.2,20
4.21,63
4.22,77
4.23,61
4.25,84
4.26,33
4.27,112
4.28,151
4.29,113
4.3,104
4.31,105
4.32,190
4.33,113
4.34,107
4.37,32
4.38,73
4.39,31
4.4,48
4.41,82
4.42,41
4.43,87
4.44,100
4.45,43
4.46,64
4.48,35
4.49,17
4.5,211
4.51,15
4.52,33
4.53,17
4.54,97
4.55,68
4.56,35
4.57,31
4.6,123
4.61,45
4.62,9
4.63,75
4.64,6
4.65,50
4.66,66
4.67,21
4.68,2
4.69,15
4.71,10
4.72,17
4.73,26
4.74,7
4.75,43
4.76,84
4.77,7
4.78,142
4.79,21
4.8,52
4.83,110
4.84,41
4.85,13
4.86,104
4.87,109
4.88,41
4.89,27
