date,price,quantity
Jul 01 2022 01: +0,18.725,6647
Jul 02 2022 01: +0,9.067,65281
Jul 03 2022 01: +0,6.088,55152
Jul 04 2022 01: +0,4.924,50299
Jul 05 2022 01: +0,4.465,51490
Jul 06 2022 01: +0,4.118,48629
Jul 07 2022 01: +0,3.85,46443
Jul 08 2022 01: +0,4.008,46589
Jul 09 2022 01: +0,3.856,48132
Jul 10 2022 01: +0,3.634,51081
Jul 11 2022 01: +0,3.154,50493
Jul 12 2022 01: +0,2.844,50648
Jul 13 2022 01: +0,3.604,37200
Jul 14 2022 01: +0,2.668,56559
Jul 15 2022 01: +0,2.945,50139
Jul 16 2022 01: +0,2.926,47237
Jul 17 2022 01: +0,2.72,50884
Jul 18 2022 01: +0,2.514,49456
Jul 19 2022 01: +0,2.536,52242
Jul 20 2022 01: +0,3.195,35997
Jul 21 2022 01: +0,2.412,57351
Jul 22 2022 01: +0,2.437,52011
Jul 23 2022 01: +0,2.404,51178
Jul 24 2022 01: +0,2.253,53426
Jul 25 2022 01: +0,2.141,49300
Jul 26 2022 01: +0,2.045,51140
Jul 27 2022 01: +0,1.94,50145
Jul 28 2022 01: +0,1.914,52670
Jul 29 2022 01: +0,2.014,51395
Jul 30 2022 01: +0,2.104,52145
Jul 31 2022 01: +0,2.063,53298
Aug 01 2022 01: +0,2.039,51219
Aug 02 2022 01: +0,2.01,57665
Aug 03 2022 01: +0,1.986,56267
Aug 04 2022 01: +0,1.978,54929
Aug 05 2022 01: +0,2.006,52829
Aug 06 2022 01: +0,2.033,53575
Aug 07 2022 01: +0,2.012,55789
Aug 08 2022 01: +0,1.961,51034
Aug 09 2022 01: +0,1.916,33465
Aug 10 2022 01: +0,1.883,58787
Aug 11 2022 01: +0,1.842,54180
Aug 12 2022 01: +0,1.805,54843
Aug 13 2022 01: +0,1.802,53064
Aug 14 2022 01: +0,1.758,56553
Aug 15 2022 01: +0,1.691,50257
Aug 16 2022 01: +0,1.672,55551
Aug 17 2022 01: +0,1.584,66124
Aug 18 2022 01: +0,1.512,62426
Aug 19 2022 01: +0,1.507,63611
Aug 20 2022 01: +0,1.565,61336
Aug 21 2022 01: +0,1.584,61191
Aug 22 2022 01: +0,1.538,56380
Aug 23 2022 01: +0,1.548,53111
