date,price,quantity
Feb 10 2023 01: +0,13.462,79764
Feb 11 2023 01: +0,8.041,79886
Feb 12 2023 01: +0,6.889,78300
Feb 13 2023 01: +0,6.96,58451
Feb 14 2023 01: +0,5.986,57769
Feb 15 2023 01: +0,5.549,57410
Feb 16 2023 01: +0,5.544,59648
Feb 17 2023 01: +0,4.744,67413
Feb 18 2023 01: +0,4.303,77269
Feb 19 2023 01: +0,3.502,76360
Feb 20 2023 01: +0,3.131,64885
Feb 21 2023 01: +0,3.021,61645
Feb 22 2023 01: +0,3.034,61591
Feb 23 2023 01: +0,3.005,63411
Feb 24 2023 01: +0,3.046,66744
Feb 25 2023 01: +0,2.902,70867
Feb 26 2023 01: +0,2.654,75588
Feb 27 2023 01: +0,2.595,67384
Feb 28 2023 01: +0,2.657,61965
Mar 01 2023 01: +0,2.735,60367
Mar 02 2023 01: +0,2.75,60819
Mar 03 2023 01: +0,2.801,67046
Mar 04 2023 01: +0,2.726,76394
Mar 05 2023 01: +0,2.632,75587
Mar 06 2023 01: +0,2.52,68017
Mar 07 2023 01: +0,2.502,68332
Mar 08 2023 01: +0,2.512,65406
Mar 09 2023 01: +0,2.597,67167
Mar 10 2023 01: +0,2.721,73206
Mar 11 2023 01: +0,2.709,79307
Mar 12 2023 01: +0,2.629,76768
Mar 13 2023 01: +0,2.527,65853
Mar 14 2023 01: +0,2.499,67371
Mar 15 2023 01: +0,2.545,70343
Mar 16 2023 01: +0,2.549,69531
Mar 17 2023 01: +0,2.562,77763
Mar 18 2023 01: +0,2.552,82713
Mar 19 2023 01: +0,2.463,82736
Mar 20 2023 01: +0,2.357,69934
Mar 21 2023 01: +0,2.306,72892
Mar 22 2023 01: +0,2.316,90766
Mar 23 2023 01: +0,2.575,104374
Mar 24 2023 01: +0,2.761,99602
Mar 25 2023 01: +0,2.801,99990
Mar 26 2023 01: +0,2.815,103554
Mar 27 2023 01: +0,2.82,89886
Mar 28 2023 01: +0,2.827,90452
Mar 29 2023 01: +0,2.901,82826
Mar 30 2023 01: +0,2.98,74287
Mar 31 2023 01: +0,3.145,79041
Apr 01 2023 01: +0,3.195,98081
Apr 02 2023 01: +0,2.948,106255
Apr 03 2023 01: +0,2.933,96752
Apr 04 2023 01: +0,3.026,85896
Apr 05 2023 01: +0,3.103,83144
Apr 06 2023 01: +0,3.226,92027
Apr 07 2023 01: +0,3.39,85076
Apr 08 2023 01: +0,3.462,88723
Apr 09 2023 01: +0,3.345,98952
Apr 10 2023 01: +0,3.344,92309
Apr 11 2023 01: +0,3.287,84992
Apr 12 2023 01: +0,3.276,86219
Apr 13 2023 01: +0,3.366,84763
Apr 14 2023 01: +0,3.531,83214
Apr 15 2023 01: +0,3.623,74876
Apr 16 2023 01: +0,3.566,83316
Apr 17 2023 01: +0,3.523,94262
Apr 18 2023 01: +0,3.522,78165
Apr 19 2023 01: +0,3.555,79053
Apr 20 2023 01: +0,3.511,100303
Apr 21 2023 01: +0,3.511,104759
Apr 22 2023 01: +0,3.471,101273
Apr 23 2023 01: +0,3.32,99971
Apr 24 2023 01: +0,3.169,93098
Apr 25 2023 01: +0,2.945,107142
Apr 26 2023 01: +0,2.724,90786
Apr 27 2023 01: +0,2.726,94818
Apr 28 2023 01: +0,2.842,92741
Apr 29 2023 01: +0,2.839,92746
Apr 30 2023 01: +0,2.771,93857
May 01 2023 01: +0,2.604,86637
May 02 2023 01: +0,2.532,89790
May 03 2023 01: +0,2.566,80621
May 04 2023 01: +0,2.545,82751
May 05 2023 01: +0,2.448,100847
May 06 2023 01: +0,2.437,94663
May 07 2023 01: +0,2.304,97420
May 08 2023 01: +0,2.182,88127
May 09 2023 01: +0,2.151,84706
May 10 2023 01: +0,2.274,80062
May 11 2023 01: +0,2.261,77075
May 12 2023 01: +0,2.242,83855
May 13 2023 01: +0,2.218,87884
May 14 2023 01: +0,2.116,85105
May 15 2023 01: +0,2.056,78921
May 16 2023 01: +0,2.04,80190
May 17 2023 01: +0,2.036,79228
May 18 2023 01: +0,2.023,78314
May 19 2023 01: +0,1.995,83342
May 20 2023 01: +0,1.967,84318
May 21 2023 01: +0,1.933,88627
May 22 2023 01: +0,1.908,80095
May 23 2023 01: +0,1.887,80347
May 24 2023 01: +0,1.89,81266
May 25 2023 01: +0,1.909,85120
May 26 2023 01: +0,1.931,88857
May 27 2023 01: +0,1.955,89419
May 28 2023 01: +0,1.944,84591
May 29 2023 01: +0,1.953,83474
May 30 2023 01: +0,1.949,75595
May 31 2023 01: +0,1.958,79708
Jun 01 2023 01: +0,2,80763
Jun 02 2023 01: +0,2.013,81724
Jun 03 2023 01: +0,2.004,85880
Jun 04 2023 01: +0,1.998,86725
Jun 05 2023 01: +0,1.956,73771
Jun 06 2023 01: +0,1.926,78728
Jun 07 2023 01: +0,1.91,78859
Jun 08 2023 01: +0,1.923,86984
Jun 09 2023 01: +0,1.965,77755
Jun 10 2023 01: +0,2.142,100806
Jun 11 2023 01: +0,2.144,66614
Jun 12 2023 01: +0,2.146,60077
Jun 13 2023 01: +0,2.172,51812
Jun 14 2023 01: +0,2.041,91963
Jun 15 2023 01: +0,1.967,83393
Jun 16 2023 01: +0,2.022,78038
Jun 17 2023 01: +0,2.106,70391
Jun 18 2023 01: +0,2.114,61287
Jun 19 2023 01: +0,2.083,52261
